Year,Month,HighestSS,Pressure,MaxWind,Name,AL,CT,DE,FL,GA,LA,MA,MD,ME,MS,NC,NH,NJ,NY,PA,RI,SC,TX,VA
1883,9,2,965,90,-----,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
1885,8,2,970,90,-----,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0
1886,6,2,970,85,-----,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
1886,6,2,970,85,-----,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1886,6,2,970,85,-----,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1886,7,1,982,70,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1886,8,4,925,130,"""Indianola""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1886,9,1,973,80,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1886,10,3,950,105,-----,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0
1887,7,1,978,75,-----,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887,8,1,946,65,-----,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1887,9,1,973,75,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1887,10,1,978,75,-----,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1888,6,1,982,70,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1888,8,3,945,110,-----,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
1888,10,2,970,95,-----,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1889,9,1,982,70,-----,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1891,7,1,974,80,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
