Year,Month,HighestSS,Pressure,MaxWind,Name,AL,CT,DE,FL,GA,LA,MA,MD,ME,MS,NC,NH,NJ,NY,PA,RI,SC,TX,VA
1992,8,5,922,145,Andrew,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,8,3,961,100,Emily,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1995,8,2,973,85,Erin,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,10,3,942,100,Opal,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,7,2,974,90,Bertha,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1996,9,3,954,100,Fran,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1997,7,1,984,70,Danny,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,8,2,964,95,Bonnie,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1998,9,1,987,70,Earl,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,9,2,964,90,Georges,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1999,8,3,951,100,Bret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1999,9,2,956,90,Floyd,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1999,10,2,964,95,Irene,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2002,10,1,963,80,Lili,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,7,1,979,80,Claudette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2003,9,2,957,90,Isabel,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
2004,8,1,972,70,Alex,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,8,4,941,130,Charley,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2004,8,1,985,65,Gaston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2004,9,2,960,90,Frances,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,9,3,946,105,Ivan,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,9,3,950,105,Jeanne,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,1,991,65,Cindy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,3,946,105,Dennis,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,8,3,920,110,Katrina,1,0,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
2005,9,1,982,65,Ophelia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,9,3,937,100,Rita,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0
2005,10,3,950,105,Wilma,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,9,1,985,80,Humberto,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2008,7,1,967,75,Dolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2008,9,2,954,90,Gustav,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,9,2,950,95,Ike,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2011,8,1,952,75,Irene,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,8,1,966,70,Isaac,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,10,1,942,65,Sandy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
